cand_id,bioguide_id,match_method,confidence
H4NY19073,K000078,authoritative,high
H4NY21079,S001196,authoritative,high
H4NY22051,T000478,authoritative,high
H4NY22085,M001231,authoritative,high
H4NY24073,K000386,authoritative,high
H4NY26078,K000402,authoritative,high
H4NY27076,H001038,authoritative,high
H4NY29080,K000364,authoritative,high
H4OH02032,P000449,authoritative,high
H4OH02248,T000490,authoritative,high
H4OH06165,R000619,authoritative,high
H4OH17071,T000350,authoritative,high
H4OH18079,N000081,authoritative,high
H4OH19036,L000553,authoritative,high
H4OK01040,L000096,authoritative,high
H4OK02048,C000560,authoritative,high
H4OK02089,B001254,authoritative,high
H4OK04036,W000210,authoritative,high
H4OK05132,R000604,authoritative,high
H4OK06056,L000491,authoritative,high
H4OR03192,D000635,authoritative,high
H4OR05304,B001326,authoritative,high
H4PA07027,W000268,authoritative,high
H4PA08074,F000451,authoritative,high
H4PA08124,B001327,authoritative,high
H4PA13017,H001031,authoritative,high
H4PA13124,S001162,authoritative,high
H4PA13199,B001296,authoritative,high
H4PA15087,D000604,authoritative,high
H4PA18131,D000482,authoritative,high
H4PA21051,E000187,authoritative,high
H4PR00079,F000452,authoritative,high
H4PR01010,H001103,authoritative,high
H4RI01034,K000113,authoritative,high
H4RI01265,A000380,authoritative,high
H4SC01073,S000051,authoritative,high
H4SC01313,B001325,authoritative,high
H4SC03087,G000359,authoritative,high
H4TN04015,G000309,authoritative,high
H4TN04072,H000615,authoritative,high
H4TN06051,D000599,authoritative,high
H4TX02108,P000592,authoritative,high
H4TX04039,G000552,authoritative,high
H4TX04153,R000601,authoritative,high
H4TX06117,B000213,authoritative,high
H4TX09095,G000553,authoritative,high
H4TX10028,D000399,authoritative,high
H4TX10093,M001157,authoritative,high
H4TX12065,G000601,authoritative,high
H4TX13014,T000238,authoritative,high
H4TX18054,J000032,authoritative,high
H4TX18237,T000489,authoritative,high
H4TX18245,L000605,authoritative,high
H4TX19011,C000653,authoritative,high
H4TX19102,N000182,authoritative,high
H4TX19136,C001062,authoritative,high
H4TX22023,D000217,authoritative,high
H4TX24094,M001158,authoritative,high
H4TX25042,B000400,authoritative,high
H4TX26016,A000217,authoritative,high
H4TX26149,G000603,authoritative,high
H4TX28046,C001082,authoritative,high
H4TX32089,J000310,authoritative,high
H4UT02106,C000722,authoritative,high
H4UT02296,M001228,authoritative,high
H4UT03260,K000403,authoritative,high
H4VA02037,D000605,authoritative,high
H4VA04066,M001227,authoritative,high
H4VA07143,B001290,authoritative,high
H4VA07234,V000138,authoritative,high
H4VA08224,B001292,authoritative,high
H4VA10089,C001105,authoritative,high
H4VA10279,S001230,authoritative,high
H4VA11020,D000136,authoritative,high
H4VI00054,C000380,authoritative,high
H4WA04104,N000189,authoritative,high
H4WA05028,N000051,authoritative,high
H4WA05077,M001159,authoritative,high
H4WA05234,B001322,authoritative,high
H4WA06117,R000621,authoritative,high
H4WA08071,R000578,authoritative,high
H4WI04027,K000259,authoritative,high
H4WI04183,M001160,authoritative,high
H4WI06048,G000576,authoritative,high
H4WI08119,W000829,authoritative,high
H4WV02080,M001195,authoritative,high
H4WV02205,M001235,authoritative,high
H4WV03070,J000297,authoritative,high
H4WY00055,C000962,authoritative,high
H6AK00045,Y000033,authoritative,high
H6AL03058,R000258,authoritative,high
H6AL04098,A000055,authoritative,high
H6AR01072,B000420,authoritative,high
H6AR02203,S000672,authoritative,high
H6AR03011,H001014,authoritative,high
H6AZ01199,O000171,authoritative,high
H6AZ03112,S001044,authoritative,high
H6AZ05067,M001167,authoritative,high
H6AZ05083,B001302,authoritative,high
H6AZ07121,G000606,authoritative,high
H6AZ08038,G000554,authoritative,high
H6CA02010,H000528,authoritative,high
H6CA05195,M001163,authoritative,high
H6CA07043,M000725,authoritative,high
H6CA09023,S000810,authoritative,high
H6CA10088,T000057,authoritative,high
H6CA20152,P000613,authoritative,high
H6CA21028,G000021,authoritative,high
H6CA21135,M001177,authoritative_unverified,medium
H6CA22125,M001165,authoritative,high
H6CA24048,W000215,authoritative,high
H6CA24113,S000344,authoritative,high
H6CA24303,C001112,authoritative,high
H6CA27231,R000386,authoritative,high
H6CA34112,L000517,authoritative,high
H6CA37222,M000714,authoritative,high
H6CA39020,R000487,authoritative,high
H6CA42099,B001234,authoritative,high
H6CA44103,B001300,authoritative,high
H6CA46033,S000030,authoritative,high
H6CA46116,C001110,authoritative,high
H6CA48039,C001064,authoritative,high
H6CO01141,D000197,authoritative,high
H6CO03097,C000077,authoritative,high
H6CO03139,T000470,authoritative,high
H6CO04087,S000112,authoritative,high
H6CO05076,H000444,authoritative,high
H6CO05142,C001137,authoritative,high
H6CO05159,L000564,authoritative,high
H6CO07023,P000593,authoritative,high
H6CT05124,M001169,authoritative,high
H6DE00206,B001303,authoritative,high
H6FL00046,B000716,authoritative,high
H6FL00087,D000114,authoritative,high
H6FL01119,G000578,authoritative,high
H6FL01390,P000622,authoritative,high
H6FL02208,D000628,authoritative,high
H6FL04105,R000609,authoritative,high
H6FL06035,Y000031,authoritative,high
H6FL06258,F000484,authoritative,high
H6FL07140,M001202,authoritative,high
H6FL08213,G000556,authoritative,high
H6FL09070,B001257,authoritative,high
H6FL09179,S001200,authoritative,high
H6FL11126,C001066,authoritative,high
H6FL11134,C001066,authoritative_unverified,medium
H6FL13148,B001260,authoritative,high
H6FL13205,C001111,authoritative,high
H6FL16059,M001164,authoritative,high
H6FL18097,M001199,authoritative,high
H6FL19038,W000314,authoritative,high
H6FL19087,R000607,authoritative,high
H6FL22040,K000366,authoritative,high
H6GA03113,F000465,authoritative,high
H6GA04129,J000288,authoritative,high
H6GA05035,C000813,authoritative,high
H6GA05217,L000287,authoritative,high
H6HI01121,A000014,authoritative,high
H6HI02038,M000797,authoritative,high
H6HI02244,S001194,authoritative,high
H6HI02251,H001042,authoritative,high
H6IA01015,L000169,authoritative,high
H6IA01098,B001259,authoritative,high
H6IA02146,L000565,authoritative,high
H6IA03144,B000652,authoritative,high
H6ID01177,S001167,authoritative,high
H6IL02124,J000283,authoritative,high
H6IL06026,H001022,authoritative,high
H6IL06117,R000580,authoritative,high
H6IL06141,D000622,authoritative,high
H6IL08147,K000391,authoritative,high
H6IL12016,C000873,authoritative,high
H6IL14095,H000323,authoritative,high
H6IL17155,H001040,authoritative,high
H6IL18088,L000585,authoritative,high
H6IN03229,B001299,authoritative,high
H6IN07121,P000171,authoritative,high
H6IN08210,E000289,authoritative,high
H6IN09143,H001093,authoritative,high
H6IN09176,H001074,authoritative,high
H6IN10141,C000191,authoritative,high
H6KS01096,M000934,authoritative,high
H6KS01146,H001057,authoritative,high
H6KS01179,M001198,authoritative,high
H6KS02227,R000566,authoritative,high
H6KY01110,C001108,authoritative,high
H6KY03090,N000143,authoritative,high
H6KY03124,Y000062,authoritative,high
H6KY06085,F000441,authoritative,high
H6LA03148,H001077,authoritative,high
H6LA04138,J000299,authoritative,high
H6LA05093,C000735,authoritative,high
H6LA06083,B000072,authoritative,high
H6LA07024,B000780,authoritative,high
H6LA07131,J000110,authoritative,high
H6MA07101,M000133,authoritative,high
H6MA09032,M000834,authoritative,high
H6MD03177,C000141,authoritative,high
H6MD03292,S001168,authoritative,high
H6MD04183,E000290,authoritative,high
H6MD04209,B001304,authoritative,high
H6MD07020,M000687,authoritative,high
H6MD07160,C000984,authoritative,high
H6MD08457,R000606,authoritative,high
H6MD08549,T000483,authoritative,high
H6ME01157,A000357,authoritative,high
H6MI01028,C000714,authoritative,high
H6MI01226,B001301,authoritative,high
H6MI04113,U000031,authoritative,high
H6MI07108,K000172,authoritative,high
H6MI08163,S000770,authoritative,high
H6MI12017,B000619,authoritative,high
H6MI12181,M001150,authoritative,high
H6MI15127,K000180,authoritative,high
H6MI16034,D000355,authoritative,high
H6MN01174,W000799,authoritative,high
H6MN02131,C001119,authoritative,high
H6MN02149,L000587,authoritative,high
H6MN04103,V000087,authoritative,high
H6MN05183,E000288,authoritative,high
H6MN06074,B001256,authoritative,high
H6MN08047,O000006,authoritative,high
H6MN08112,G000367,authoritative,high
H6MO01022,C000488,authoritative,high
H6MO03119,G000132,authoritative,high
H6MO04141,S000465,authoritative,high
H6MO06039,D000046,authoritative,high
H6MO07128,B000575,authoritative,high
H6MO08084,E000172,authoritative,high
H6MS01131,K000388,authoritative,high
H6MS03046,P000323,authoritative,high
H6MT00014,H000605,authoritative,high
H6NC02080,E000226,authoritative,high
H6NC04037,P000523,authoritative,high
H6NC08111,K000369,authoritative,high
H6NC09200,H001102,authoritative,high
H6NC10117,B000104,authoritative,high
H6NC11172,S001171,authoritative,high
H6NC13129,B001305,authoritative,high
H6ND00074,C001096,authoritative,high
H6NE02125,B001298,authoritative,high
H6NE03115,S001172,authoritative,high
H6NH01230,S001170,authoritative,high
H6NJ05171,G000583,authoritative,high
H6NJ08118,P000096,authoritative,high
H6NJ09165,R000462,authoritative,high
H6NJ12136,L000567,authoritative,high
H6NJ12144,H001032,authoritative,high
H6NJ13191,S001165,authoritative,high
H6NV02032,G000152,authoritative,high
H6NV02164,H001041,authoritative,high
H6NV03139,R000608,authoritative,high
H6NV04020,L000590,authoritative,high
H6NY03031,S000480,authoritative,high
H6NY03247,S001201,authoritative,high
H6NY04112,M000309,authoritative,high
H6NY11174,D000625,authoritative,high
H6NY19029,R000053,authoritative,high
H6NY19144,H001039,authoritative,high
H6NY19169,F000464,authoritative,high
H6NY20167,G000555,authoritative,high
H6NY24128,A000363,authoritative,high
H6NY25125,M001171,authoritative,high
H6NY26016,G000212,authoritative,high
H6NY29168,M001173,authoritative,high
H6NY34069,H000814,authoritative,high
H6NY36015,L000556,authoritative,high
H6OH02086,S001164,authoritative,high
H6OH04082,J000289,authoritative,high
H6OH06038,S001004,authoritative,high
H6OH06095,W000801,authoritative,high
H6OH08315,D000626,authoritative,high
H6OH13133,S001174,authoritative,high
H6OH13158,S000094,authoritative,high
H6OH14040,S000094,authoritative,high
H6OH15104,K000372,authoritative,high
H6OH16029,R000141,authoritative,high
H6OH18157,S001173,authoritative,high
H6OH23033,K000336,authoritative,high
H6OK01102,I000024,authoritative,high
H6OK03074,W000194,authoritative,high
H6OK05160,F000453,authoritative,high
H6OR02116,W000791,authoritative,high
H6OR03064,B000574,authoritative,high
H6OR04047,D000191,authoritative,high
H6OR05069,H000762,authoritative,high
H6PA02171,E000296,authoritative,high
H6PA04110,A000362,authoritative,high
H6PA05091,P000263,authoritative,high
H6PA07105,S001169,authoritative,high
H6PA08194,M001168,authoritative,high
H6PA08277,F000466,authoritative,high
H6PA09051,S000394,authoritative,high
H6PA10109,C001065,authoritative,high
H6PA12030,M001120,authoritative,high
H6PA16197,P000373,authoritative,high
H6PA16320,S001199,authoritative,high
H6PA19043,G000291,authoritative,high
H6PR00082,G000582,authoritative,high
H6RI02151,W000315,authoritative,high
H6SC02043,S000718,authoritative,high
H6SD00044,J000177,authoritative,high
H6SD00085,T000250,authoritative,high
H6TN01180,J000082,authoritative,high
H6TN01313,D000606,authoritative,high
H6TN01388,R000582,authoritative,high
H6TN07161,V000139,authoritative,high
H6TN09043,F000262,authoritative,high
H6TN09068,C001068,authoritative,high
H6TX00115,R000170,authoritative,high
H6TX01162,S000044,authoritative,high
H6TX02079,B001291,authoritative,high
H6TX02095,T000424,authoritative,high
H6TX07029,A000215,authoritative,high
H6TX08100,B000755,authoritative,high
H6TX09033,L000043,authoritative,high
H6TX12060,G000377,authoritative,high
H6TX15055,H000636,authoritative,high
H6TX15162,G000581,authoritative,high
H6TX19099,A000375,authoritative,high
H6TX21012,S000583,authoritative,high
H6TX22101,P000583,authoritative,high
H6TX22143,S000937,authoritative,high
H6TX24057,F000392,authoritative,high
H6UT03042,C000116,authoritative,high
H6VA01117,S000185,authoritative,high
H6VA02057,P000326,authoritative,high
H6VA04061,M001200,authoritative,high
H6VA05068,G000280,authoritative,high
H6VA05142,G000580,authoritative,high
H6VA10050,W000672,authoritative,high
H6VA11066,W000831,authoritative,high
H6VT00053,J000072,authoritative,high
H6VT00160,W000800,authoritative,high
H6WA03135,B001229,authoritative,high
H6WA06021,D000327,authoritative,high
H6WA07458,J000298,authoritative,high
H6WA09025,S000510,authoritative,high
H6WI03099,K000188,authoritative,high
H6WI07033,O000007,authoritative,high
H6WI08122,K000365,authoritative,high
H6WI08155,G000579,authoritative,high
H6WV04057,R000011,authoritative,high
H6WY00159,C001109,authoritative,high
H8AL02130,B001264,authoritative,high
H8AL02171,M001212,authoritative,high
H8AL05109,G000557,authoritative,high
H8AZ01104,K000368,authoritative,high
H8AZ05097,S001183,authoritative_unverified,medium
H8AZ08158,L000589,authoritative,high
H8AZ09040,S001211,authoritative,high
H8CA01109,T000460,authoritative,high
H8CA03014,M000249,authoritative,high
H8CA03105,O000164,authoritative,high
H8CA04152,M001177,authoritative,high
H8CA05035,P000197,authoritative,high
H8CA09060,L000551,authoritative,high
H8CA10126,H001090,authoritative,high
H8CA10167,C001124,authoritative,high
H8CA12098,E000215,authoritative,high
H8CA12171,S001175,authoritative,high
H8CA18020,T000188,authoritative,high
H8CA20059,N000181,authoritative,high
H8CA22089,C001036,authoritative,high
H8CA25074,H001087,authoritative,high
H8CA28029,D000373,authoritative,high
H8CA34068,N000179,authoritative,high
H8CA34266,G000585,authoritative,high
H8CA35032,D000492,authoritative,high
H8CA36071,K000357,authoritative,high
H8CA36097,H001063,authoritative,high
H8CA37079,L000274,authoritative,high
H8CA37137,R000581,authoritative,high
H8CA39174,C001123,authoritative,high
H8CA39240,K000397,authoritative,high
H8CA40057,C000830,authoritative,high
H8CA41063,M001139,authoritative,high
H8CA42046,H000789,authoritative,high
H8CA42061,R000409,authoritative,high
H8CA44034,B001228,authoritative,high
H8CA45130,P000618,authoritative,high
H8CA48035,R000616,authoritative,high
H8CA49058,L000593,authoritative,high
H8CA49074,J000305,authoritative,high
H8CA52052,H001048,authoritative,high
H8CO02087,U000038,authoritative,high
H8CO02137,P000598,authoritative,high
H8CO02160,N000191,authoritative,high
H8CO04067,M001172,authoritative,high
H8CO06054,T000458,authoritative,high
H8CO06138,C001077,authoritative,high
H8CO06229,C001121,authoritative,high
H8CO07045,P000620,authoritative,high
H8CT01046,L000557,authoritative,high
H8CT04057,S001144,authoritative,high
H8CT04172,H001047,authoritative,high
H8CT05245,H001081,authoritative,high
H8FL06056,S000822,authoritative,high
H8FL06148,W000823,authoritative,high
H8FL13037,G000336,authoritative,high
H8FL15107,P000599,authoritative,high
H8FL15230,S001210,authoritative,high
H8FL16022,R000583,authoritative,high
H8FL17053,S001214,authoritative,high
H8FL20032,C001127,authoritative,high
H8FL22038,W000807,authoritative,high
H8FL24026,K000370,authoritative,high
H8FL25015,G000573,authoritative,high
H8FL26039,M001207,authoritative,high
H8FL27185,S000168,authoritative,high
H8FL27193,S001206,authoritative,high
H8GA06146,I000055,authoritative,high
H8GA06195,O000174,authoritative,high
H8GA06286,H001078,authoritative,high
H8GA06393,M001208,authoritative,high
H8GA07201,B001312,authoritative,high
H8GA10049,B001262,authoritative,high
H8GU01020,S001204,authoritative,high
H8IA01094,F000467,authoritative,high
H8IA02043,M001215,authoritative,high
H8IA03124,A000378,authoritative,high
H8ID01090,M001175,authoritative,high
H8ID01124,F000469,authoritative,high
H8ID02064,S001148,authoritative,high
H8IL03102,N000192,authoritative,high
H8IL04134,G000586,authoritative,high
H8IL06139,C001117,authoritative,high
H8IL09067,S001145,authoritative,high
H8IL10016,P000444,authoritative,high
H8IL11113,H001044,authoritative,high
H8IL13051,R000580,authoritative_unverified,medium
H8IL13069,B001232,authoritative,high
H8IL14067,F000454,authoritative,high
H8IL14174,U000040,authoritative,high
H8IL18043,S001179,authoritative,high
H8IL19066,P000584,authoritative,high
H8IL21021,C000794,authoritative,high
H8IN02060,P000587,authoritative,high
H8IN04199,B001307,authoritative,high
H8IN06129,P000615,authoritative,high
H8IN07184,C001072,authoritative,high
H8IN09032,H001030,authoritative,high
H8KS02090,J000290,authoritative,high
H8KS02199,W000824,authoritative,high
H8KS03049,M001140,authoritative,high
H8KS03155,D000629,authoritative,high
H8KS04112,E000298,authoritative,high
H8KY00035,L000558,authoritative,high
H8KY02031,G000558,authoritative,high
H8LA00017,C001075,authoritative,high
H8LA02054,R000588,authoritative,high
H8LA02112,C001079,authoritative,high
H8LA04134,M000388,authoritative,high
H8LA04225,F000456,authoritative,high
H8LA06022,C001073,authoritative,high
H8MA02041,N000015,authoritative,high
H8MA03106,T000482,authoritative,high
H8MA05143,T000465,authoritative,high
H8MA07032,P000617,authoritative,high
H8MA08071,C001037,authoritative,high
H8MD01037,G000180,authoritative,high
H8MD01086,K000371,authoritative,high
H8MD01094,H001052,authoritative,high
H8ME01120,P000597,authoritative,high
H8ME02185,G000592,authoritative,high
H8MI07096,S001178,authoritative,high
H8MI08102,S001208,authoritative,high
H8MI09068,P000595,authoritative,high
H8MI09118,L000592,authoritative,high
H8MI11254,S001215,authoritative,high
H8MI13243,J000303,authoritative,high
H8MI13250,T000481,authoritative,high
H8MN03077,P000594,authoritative,high
H8MN03143,P000616,authoritative,high
H8MN05023,S000005,authoritative,high
H8MN05239,O000173,authoritative,high
H8MN06047,K000363,authoritative,high
H8MN08043,S001212,authoritative,high
H8MO01143,B001224,authoritative,high
H8MO09146,O000177,authoritative,high
H8MO09153,L000569,authoritative,high
H8MP00041,S001177,authoritative,high
H8MS01061,C001074,authoritative,high
H8MS03067,H001045,authoritative,high
H8MS03125,G000591,authoritative,high
H8MS05047,T000074,authoritative,high
H8MT01182,G000584,authoritative,high
H8NC07044,M000485,authoritative,high
H8NC08042,H001029,authoritative,high
H8NC11038,T000067,authoritative,high
H8NC13067,M001135,authoritative,high
H8ND00096,A000377,authoritative,high
H8NE01016,B000403,authoritative,high
H8NE02139,T000459,authoritative,high
H8NH01210,P000614,authoritative,high
H8NJ02166,V000133,authoritative,high
H8NJ03073,P000034,authoritative,high
H8NJ03156,A000364,authoritative,high
H8NJ03206,K000394,authoritative,high
H8NJ04014,S000522,authoritative,high
H8NJ05052,G000548,authoritative,high
H8NJ06118,F000443,authoritative,high
H8NJ07017,R000465,authoritative,high
H8NJ07124,L000567,authoritative_unverified,medium
H8NJ07223,M001203,authoritative,high
H8NJ11142,S001207,authoritative,high
H8NM01174,W000789,authoritative,high
H8NM01224,H001046,authoritative,high
H8NM01257,L000580,authoritative,high
H8NM01331,H001080,authoritative,high
H8NM02032,T000466,authoritative,high
H8NM02156,H001084,authoritative,high
H8NM02248,T000484,authoritative,high
H8NM03097,U000039,authoritative,high
H8NM03196,L000570,authoritative,high
H8NV01071,B001231,authoritative,high
H8NV03036,T000468,authoritative,high
H8NY01148,Z000017,authoritative,high
H8NY06048,M001137,authoritative,high
H8NY07046,C001038,authoritative,high
H8NY09091,W000792,authoritative,high
H8NY11113,R000613,authoritative,high
H8NY13028,F000440,authoritative,high
H8NY13077,M001174,authoritative,high
H8NY15148,O000172,authoritative,high
H8NY19058,E000179,authoritative,high
H8NY19181,D000630,authoritative,high
H8NY19223,R000579,authoritative,high
H8NY20056,L000480,authoritative,high
H8NY21203,T000469,authoritative,high
H8NY22045,S001149,authoritative,high
H8NY22151,B001308,authoritative,high
H8NY22177,R000622,authoritative,high
H8NY23084,M000590,authoritative,high
H8NY24066,H001051,authoritative,high
H8NY25105,M001206,authoritative,high
H8NY26095,L000568,authoritative,high
H8NY27036,W000099,authoritative,high
H8NY27077,R000569,authoritative,high
H8NY29032,C001092,authoritative,high
H8OH01043,C000266,authoritative,high
H8OH01068,D000609,authoritative,high
H8OH03015,H000074,authoritative,high
H8OH05036,L000566,authoritative,high
H8OH05044,G000210,authoritative,high
H8OH07065,A000365,authoritative,high
H8OH11067,J000284,authoritative,high
H8OH11141,F000455,authoritative,high
H8OH12180,B001306,authoritative,high
H8OH15076,S001187,authoritative,high
H8OH16058,B001263,authoritative,high
H8OH16124,G000588,authoritative,high
H8OK01157,H001082,authoritative,high
H8OK05109,H001083,authoritative,high
H8OR01072,W000793,authoritative,high
H8OR05107,S001180,authoritative,high
H8PA01153,B001227,authoritative,high
H8PA03084,D000608,authoritative,high
H8PA04116,D000631,authoritative,high
H8PA04132,H001031,authoritative,high
H8PA05071,T000467,authoritative,high
H8PA06087,H001085,authoritative,high
H8PA07200,S001205,authoritative,high
H8PA10055,S001146,authoritative,high
H8PA10147,M001204,authoritative,high
H8PA13125,J000302,authoritative,high
H8PA15096,T000461,authoritative,high
H8PA15195,M001230,authoritative,high
H8PA15229,W000826,authoritative,high
H8PA18181,L000588,authoritative,high
H8PA18199,R000610,authoritative,high
H8PR00062,P000596,authoritative,high
H8SC01116,C001122,authoritative,high
H8SC04250,T000480,authoritative,high
H8SC05158,N000190,authoritative,high
H8SD01014,D000064,authoritative,high
H8SD01055,J000301,authoritative,high
H8TN00022,B000996,authoritative,high
H8TN02069,D000533,authoritative,high
H8TN02119,B001309,authoritative,high
H8TN06094,R000612,authoritative,high
H8TN07076,G000590,authoritative,high
H8TN08033,T000038,authoritative,high
H8TX02166,C001120,authoritative,high
H8TX03123,T000479,authoritative,high
H8TX05144,G000589,authoritative,high
H8TX06027,G000365,authoritative,high
H8TX06035,E000063,authoritative,high
H8TX06233,W000827,authoritative,high
H8TX06266,E000071,authoritative,high
H8TX07140,F000468,authoritative,high
H8TX16109,E000299,authoritative,high
H8TX17081,S000851,authoritative,high
H8TX20077,G000544,authoritative,high
H8TX21307,R000614,authoritative,high
H8TX22107,O000168,authoritative,high
H8TX27049,C001115,authoritative,high
H8TX28013,R000568,authoritative,high
H8TX29052,G000587,authoritative,high
H8TX32098,A000376,authoritative,high
H8UT03089,C001076,authoritative,high
H8UT03238,C001114,authoritative,high
H8UT04053,M001209,authoritative,high
H8VA01147,W000804,authoritative,high
H8VA02046,N000183,authoritative,high
H8VA02111,L000591,authoritative,high
H8VA05106,P000600,authoritative,high
H8VA05171,R000611,authoritative,high
H8VA06104,C001118,authoritative,high
H8VA07094,S001209,authoritative,high
H8VA10106,W000825,authoritative,high
H8VA11062,C001078,authoritative,high
H8VT00034,W000800,authoritative,high
H8VT01016,S000033,authoritative,high
H8WA07132,M000404,authoritative,high
H8WA08189,S001216,authoritative,high
H8WI00018,B001230,authoritative,high
H8WI00026,G000545,authoritative,high
H8WI01024,R000570,authoritative,high
H8WI01156,S001213,authoritative,high
H8WI09050,S000244,authoritative,high
H8WV03097,M001205,authoritative,high
H8WY00106,T000162,authoritative,high
H8WY00148,L000571,authoritative,high
P00003483,L000550,authoritative,high
P00003806,H000338,authoritative,high
P20000741,H000206,authoritative,high
P20002978,B001256,authoritative,high
P60003225,A000360,authoritative,high
P80002801,M000303,authoritative,high
P80003023,W000805,authoritative,high
P80003247,B000711,authoritative,high
P80005721,M001170,authoritative,high
S0AK00063,M001085,authoritative,high
S0AL00156,J000300,authoritative,high
S0AL00230,T000278,authoritative,high
S0AR00028,P000590,authoritative,high
S0AR00150,B001236,authoritative,high
S0AZ00251,H000413,authoritative,high
S0AZ00350,K000377,authoritative,high
S0CA00199,F000062,authoritative,high
S0CO00120,C000077,authoritative,high
S0CO00211,B001267,authoritative,high
S0CO00237,B001297,authoritative,high
S0CO00575,H000273,authoritative,high
S0CT00037,D000388,authoritative,high
S0CT00177,B001277,authoritative,high
S0DE00092,C001088,authoritative,high
S0FL00338,R000595,authoritative,high
S0FL00403,B000911,authoritative,high
S0GA00526,L000594,authoritative,high
S0GA00559,W000790,authoritative,high
S0HI00084,A000069,authoritative,high
S0IA00028,G000386,authoritative,high
S0IA00077,G000041,authoritative,high
S0ID00057,C000858,authoritative,high
S0IL00261,K000360,authoritative,high
S0IN00053,C000542,authoritative,high
S0IN00095,S001188,authoritative,high
S0IN00137,H000807,authoritative,high
S0KS00091,M000934,authoritative,high
S0KS00315,M001198,authoritative,high
S0KY00156,P000603,authoritative,high
S0MA00083,L000562,authoritative,high
S0MA00109,B001268,authoritative,high
S0MA00117,C001037,authoritative,high
S0ME00038,P000597,authoritative,high
S0MN00013,W000288,authoritative,high
S0MN00120,M000795,authoritative,high
S0MO00183,B000575,authoritative,high
S0ND00093,H001061,authoritative,high
S0NH00144,S000606,authoritative,high
S0NH00201,S001078,authoritative,high
S0NH00219,S001181,authoritative,high
S0NH00235,A000368,authoritative,high
S0NM00041,P000588,authoritative,high
S0NM00058,L000570,authoritative,high
S0NV00237,A000369,authoritative,high
S0NY00188,C001041,authoritative,high
S0NY00303,L000155,authoritative,high
S0NY00410,G000555,authoritative,high
S0OH00133,P000449,authoritative,high
S0OK00107,N000102,authoritative,high
S0SC00149,G000359,authoritative,high
S0TN00169,H000601,authoritative,high
S0UT00165,L000577,authoritative,high
S0UT00199,C000722,authoritative,high
S0WA00019,G000333,authoritative,high
S0WI00197,J000293,authoritative,high
S0WV00090,M001183,authoritative,high
S0WY00137,L000571,authoritative,high
S2AK00010,S000888,authoritative,high
S2AL00145,B001319,authoritative,high
S2AZ00141,F000444,authoritative,high
S2CA00286,B000711,authoritative,high
S2CA00302,M000249,authoritative,high
S2CA00351,C000100,authoritative,high
S2CA00955,P000145,authoritative,high
S2CT00132,M001169,authoritative,high
S2FL00227,L000572,authoritative,high
S2GA00035,C000813,authoritative,high
S2GA00100,G000550,authoritative,high
S2GA00118,C000286,authoritative,high
S2HI00106,H001042,authoritative,high
S2IN00091,D000607,authoritative,high
S2KY00012,M000355,authoritative,high
S2LA00044,C000735,authoritative,high
S2MA00170,W000817,authoritative,high
S2ME00109,K000383,authoritative,high
S2ME00158,P000611,authoritative,high
S2MN00126,C001057,authoritative,high
S2MO00353,T000024,authoritative,high
S2MO00544,S001227,authoritative,high
S2MT00096,D000618,authoritative,high
S2NC00083,D000601,authoritative,high
S2NC00505,B001305,authoritative,high
S2ND00040,D000432,authoritative,high
S2ND00099,H001069,authoritative,high
S2NE00094,F000463,authoritative,high
S2NH00025,G000445,authoritative,high
S2NJ00080,L000123,authoritative,high
S2NM00021,B000468,authoritative,high
S2NM00088,H001046,authoritative,high
S2NV00183,H001041,authoritative,high
S2OH00113,D000294,authoritative,high
S2OH00436,V000137,authoritative,high
S2OK00186,M001190,authoritative,high
S2PA00661,M001243,authoritative,high
S2SD00068,T000250,authoritative,high
S2TN00041,B000996,authoritative,high
S2TN00058,A000360,authoritative,high
S2TN00066,C000503,authoritative,high
S2TX00106,C001056,authoritative,high
S2TX00122,B000400,authoritative,high
S2TX00270,W000816,authoritative,high
S2TX00312,C001098,authoritative,high
S2UT00104,B000382,authoritative,high
S2UT00427,H000172,authoritative,high
S2VA00050,P000326,authoritative,high
S2VA00142,K000384,authoritative,high
S2VT00235,W000800,authoritative,high
S2WA00189,M001111,authoritative,high
S2WI00219,B001230,authoritative,high
S4AK00099,M001153,authoritative,high
S4AK00214,S001198,authoritative,high
S4AR00103,C001095,authoritative,high
S4AZ00030,K000352,authoritative,high
S4AZ00139,G000574,authoritative,high
S4CA00555,S001150,authoritative,high
S4CO00163,S001163,authoritative,high
S4CO00395,G000562,authoritative,high
S4DE00060,B001303,authoritative,high
S4FL00207,D000275,authoritative,high
S4FL00231,F000238,authoritative,high
S4FL00256,W000806,authoritative,high
S4FL00298,M001162,authoritative,high
S4GA11053,C000640,authoritative,high
S4GA11285,P000612,authoritative,high
S4HI00011,I000025,authoritative,high
S4HI00136,S001194,authoritative,high
S4HI00144,H001050,authoritative,high
S4IA00020,H000206,authoritative,high
S4IA00087,B001259,authoritative,high
S4IA00103,Y000066,authoritative,high
S4IA00129,E000295,authoritative,high
S4IL00057,B001266,authoritative,high
S4IL00180,O000167,authoritative,high
S4IN00014,L000504,authoritative,high
S4IN00196,B001299,authoritative,high
S4LA00040,J000110,authoritative,high
S4LA00057,V000127,authoritative,high
S4LA00065,K000393,authoritative,high
S4LA00107,C001075,authoritative,high
S4MA00028,M000133,authoritative,high
