cand_id,bioguide_id,match_method,confidence
H0OH06189,J000292,authoritative,high
H0OH07021,H000666,authoritative,high
H0OH08029,B000589,authoritative,high
H0OH12062,T000462,authoritative,high
H0OH16097,R000586,authoritative,high
H0OH18077,G000563,authoritative,high
H0OK05114,L000575,authoritative,high
H0OK05205,B000740,authoritative,high
H0OR02127,B000668,authoritative,high
H0OR03026,W000779,authoritative,high
H0PA03271,K000376,authoritative,high
H0PA04220,R000598,authoritative,high
H0PA06076,C001106,authoritative,high
H0PA07082,M001181,authoritative,high
H0PA10078,M001179,authoritative,high
H0PA11050,K000008,authoritative,high
H0PA12132,C001081,authoritative,high
H0PA12181,K000395,authoritative,high
H0PA14039,C000846,authoritative,high
H0PA18030,S000059,authoritative,high
H0PA19053,P000585,authoritative,high
H0RI01073,C001084,authoritative,high
H0RI02071,R000122,authoritative,high
H0RI02139,L000559,authoritative,high
H0SC01071,B001235,authoritative,high
H0SC01279,S001184,authoritative,high
H0SC01394,M000194,authoritative,high
H0SC03077,D000615,authoritative,high
H0SC04257,G000566,authoritative,high
H0SC05031,M001182,authoritative,high
H0SD00054,N000184,authoritative,high
H0TN01118,H001086,authoritative,high
H0TN03254,F000459,authoritative,high
H0TN04195,D000616,authoritative,high
H0TN06257,B001273,authoritative,high
H0TN08246,F000458,authoritative,high
H0TX04037,H000067,authoritative,high
H0TX04219,F000246,authoritative,high
H0TX07055,C001048,authoritative,high
H0TX07170,H001095,authoritative,high
H0TX09077,S000937,authoritative,high
H0TX11230,P000048,authoritative,high
H0TX13228,J000304,authoritative,high
H0TX15124,D000594,authoritative,high
H0TX17104,F000461,authoritative,high
H0TX22302,N000026,authoritative,high
H0TX23086,H001073,authoritative,high
H0TX24209,V000134,authoritative,high
H0TX27061,F000460,authoritative,high
H0TX35015,G000594,authoritative,high
H0UT01015,H000172,authoritative,high
H0UT01205,M001213,authoritative,high
H0UT02096,M001142,authoritative,high
H0UT04076,O000086,authoritative,high
H0VA01052,D000597,authoritative,high
H0VA02084,R000589,authoritative,high
H0VA02118,T000477,authoritative,high
H0VA03025,B000556,authoritative,high
H0VA05095,H001060,authoritative,high
H0VA05160,G000595,authoritative,high
H0VA07042,C001046,authoritative,high
H0VA07133,M001239,authoritative,high
H0VA08040,M000933,authoritative,high
H0VA09055,G000568,authoritative,high
H0WA02080,L000560,authoritative,high
H0WA03161,H001064,authoritative,high
H0WA03187,H001056,authoritative,high
H0WA08046,D000617,authoritative,high
H0WA10034,S001159,authoritative,high
H0WI03175,V000135,authoritative,high
H0WI05113,F000471,authoritative,high
H0WI06061,P000265,authoritative,high
H0WI07051,D000614,authoritative,high
H0WI07101,T000165,authoritative,high
H0WI08075,R000587,authoritative,high
H0WV01072,M001180,authoritative,high
H0WV02138,C001047,authoritative,high
H1NV02017,A000369,authoritative_unverified,medium
H2AK01083,B001323,authoritative,high
H2AK01158,P000619,authoritative,high
H2AL01077,B001244,authoritative,high
H2AL02067,E000268,authoritative,high
H2AL03032,R000575,authoritative,high
H2AL05102,S001220,authoritative,high
H2AL06035,B000013,authoritative,high
H2AL07041,H000621,authoritative,high
H2AR01022,L000035,authoritative,high
H2AR03069,H001015,authoritative,high
H2AR03176,B001236,authoritative,high
H2AR04067,D000312,authoritative,high
H2AR04083,C001095,authoritative,high
H2AZ01172,R000574,authoritative,high
H2AZ01354,C001132,authoritative,high
H2AZ02014,K000306,authoritative,high
H2AZ02055,P000099,authoritative,high
H2AZ02360,C001133,authoritative,high
H2AZ06130,S000018,authoritative_unverified,medium
H2AZ07070,G000551,authoritative,high
H2AZ08094,B001279,authoritative,high
H2AZ08102,M001197,authoritative,high
H2AZ09019,S001191,authoritative,high
H2CA00104,L000579,authoritative,high
H2CA00120,B001285,authoritative,high
H2CA01045,W000738,authoritative,high
H2CA01144,L000578,authoritative_unverified,medium
H2CA02142,L000578,authoritative,high
H2CA03157,K000401,authoritative,high
H2CA06028,B000711,authoritative,high
H2CA06259,H001068,authoritative,high
H2CA08164,C001094,authoritative,high
H2CA11051,P000419,authoritative,high
H2CA13115,G000605,authoritative,high
H2CA13131,D000633,authoritative,high
H2CA14162,M001225,authoritative,high
H2CA15094,S001193,authoritative,high
H2CA18056,C001050,authoritative,high
H2CA19054,R000004,authoritative,high
H2CA20094,V000129,authoritative,high
H2CA22231,C001128,authoritative,high
H2CA25036,M000508,authoritative,high
H2CA26026,B000410,authoritative,high
H2CA27107,H000213,authoritative,high
H2CA28113,C001097,authoritative,high
H2CA30028,M000206,authoritative,high
H2CA30143,B000287,authoritative,high
H2CA31125,A000371,authoritative,high
H2CA32099,W000794,authoritative,high
H2CA33048,R000486,authoritative,high
H2CA35118,N000187,authoritative,high
H2CA36439,R000599,authoritative,high
H2CA37023,C000059,authoritative,high
H2CA37304,K000400,authoritative,high
H2CA39078,S001156,authoritative,high
H2CA42023,H000981,authoritative,high
H2CA43047,P000005,authoritative,high
H2CA43245,T000472,authoritative,high
H2CA47113,K000357,authoritative,high
H2CA47188,G000598,authoritative,high
H2CA50026,V000130,authoritative,high
H2CA50034,F000116,authoritative,high
H2CA52089,P000608,authoritative,high
H2CO00019,C001077,authoritative,high
H2CO03054,M000477,authoritative,high
H2CO04045,M001152,authoritative,high
H2CO08020,C001134,authoritative,high
H2CT02112,C001069,authoritative,high
H2CT05131,E000293,authoritative,high
H2CT06014,J000163,authoritative,high
H2DE00072,C000243,authoritative,high
H2FL00045,C000107,authoritative,high
H2FL00250,F000447,authoritative,high
H2FL00292,D000621,authoritative,high
H2FL01100,M001144,authoritative,high
H2FL03056,B000911,authoritative,high
H2FL04070,F000328,authoritative,high
H2FL04211,B001314,authoritative,high
H2FL05127,B001247,authoritative,high
H2FL06067,T000253,authoritative,high
H2FL06109,Y000065,authoritative,high
H2FL07156,M001216,authoritative,high
H2FL08055,M000689,authoritative,high
H2FL08063,D000627,authoritative,high
H2FL09012,B000463,authoritative,high
H2FL10051,M000019,authoritative,high
H2FL10119,M000720,authoritative,high
H2FL10259,F000476,authoritative,high
H2FL14053,F000462,authoritative,high
H2FL14186,D000032,authoritative,high
H2FL14194,R000596,authoritative,high
H2FL15241,L000597,authoritative,high
H2FL16041,D000275,authoritative,high
H2FL17023,M000628,authoritative,high
H2FL17056,M001148,authoritative,high
H2FL19037,D000299,authoritative,high
H2FL22072,M001191,authoritative,high
H2FL22080,F000462,authoritative_unverified,medium
H2FL22171,M001217,authoritative,high
